sample_id,holeid,from_m,to_m,x,y,z,depth_m,WhiteMica,Chlorite,Carbonate,Epidote,Kaolinite,Dickite,Montmor,Alunite,Gypsum,Pyrophyllite,Diaspore,Zunyite,Water_silica,Hematite,Goethite,VNIRMinerals,aiMineral1
S00854,SYN-008,28.5,30.0,-43.32,90.21,29.25,29.25,3.39,2.37,0.0,1.82,11.21,0.0,0.0,8.47,13.46,0.0,0.0,0.0,46.06,43.19,30.02,Hematite,Water_silica
S00855,SYN-008,30.0,31.0,-44.4,90.42,30.5,30.5,4.62,18.55,4.81,1.92,7.51,7.31,0.0,18.07,2.24,44.62,24.74,5.8,3.62,3.39,16.51,Goethite,Pyrophyllite
S00856,SYN-008,31.0,32.0,-45.26,90.58,31.5,31.5,6.48,10.58,2.95,3.53,9.72,6.13,0.0,12.34,6.45,8.15,4.89,35.92,14.09,44.57,0.21,Hematite,Zunyite
S00857,SYN-008,32.0,34.0,-46.55,90.83,33.0,33.0,9.96,0.0,5.39,4.29,8.32,30.54,4.18,1.67,10.73,0.0,4.47,0.0,15.45,60.28,56.26,Hematite,Dickite
S00858,SYN-008,34.0,35.5,-48.06,91.12,34.75,34.75,3.54,1.08,0.0,0.0,4.98,6.6,0.71,53.39,5.36,32.46,15.05,6.1,27.96,24.67,0.0,Hematite,Alunite
S00859,SYN-008,35.5,37.5,-49.56,91.42,36.5,36.5,3.02,16.24,1.98,3.94,2.51,24.35,0.0,11.51,0.01,17.84,21.81,0.0,10.15,16.05,2.97,Hematite,Dickite
S00860,SYN-008,37.5,38.5,-50.86,91.67,38.0,38.0,7.24,3.39,1.65,3.62,5.9,17.98,2.42,46.01,26.83,1.46,46.8,2.99,7.79,7.47,3.63,None,Diaspore
S00861,SYN-008,38.5,40.0,-51.93,91.87,39.25,39.25,5.84,1.05,0.0,0.47,10.15,1.01,1.31,5.8,18.44,2.6,3.18,0.43,16.14,47.47,14.03,Hematite,Gypsum
S00862,SYN-008,40.0,41.0,-53.01,92.08,40.5,40.5,17.27,3.81,0.31,1.13,9.42,3.38,25.45,30.09,5.68,8.31,0.0,1.9,19.84,80.4,17.86,Hematite,Alunite
S00863,SYN-008,41.0,42.5,-54.08,92.29,41.75,41.75,2.17,5.51,1.32,4.94,6.99,14.53,0.96,40.74,0.0,91.21,11.52,4.04,13.02,0.0,5.29,None,Pyrophyllite
S00864,SYN-008,42.5,43.5,-55.16,92.5,43.0,43.0,57.07,0.0,5.01,2.23,3.01,1.24,3.35,0.0,6.39,0.28,22.18,1.23,4.21,3.89,4.08,None,WhiteMica
S00865,SYN-008,43.5,44.5,-56.02,92.67,44.0,44.0,0.51,0.0,0.0,0.0,18.44,11.06,28.31,29.11,1.23,79.25,10.62,5.4,8.21,16.29,3.28,Hematite,Pyrophyllite
S00866,SYN-008,44.5,46.5,-57.31,92.92,45.5,45.5,5.99,1.3,0.0,12.79,20.91,7.54,17.94,21.82,5.32,33.0,14.04,0.0,9.41,3.05,3.66,None,Pyrophyllite
S00867,SYN-008,46.5,48.0,-58.82,93.21,47.25,47.25,88.54,0.0,2.4,1.41,15.53,32.91,3.78,3.63,9.6,0.0,1.08,2.22,5.74,0.32,4.51,None,WhiteMica
S00868,SYN-008,48.0,49.5,-60.11,93.46,48.75,48.75,0.45,3.93,0.0,0.0,7.26,7.52,19.69,24.82,0.23,73.6,34.67,29.03,12.99,0.0,0.06,None,Pyrophyllite
S00869,SYN-008,49.5,51.0,-61.4,93.71,50.25,50.25,0.0,1.49,3.27,31.02,9.42,8.35,1.91,20.54,5.07,53.61,10.68,7.68,9.87,6.14,3.65,None,Pyrophyllite
S00870,SYN-008,51.0,52.5,-62.69,93.96,51.75,51.75,6.27,0.0,0.0,27.87,3.92,18.05,0.0,63.41,0.0,36.2,22.97,9.48,7.95,6.5,0.0,None,Alunite
S00871,SYN-008,52.5,54.0,-63.98,94.21,53.25,53.25,4.4,2.31,0.0,0.0,5.2,11.31,0.0,46.66,0.0,84.44,16.16,6.45,6.46,6.88,5.87,None,Pyrophyllite
S00872,SYN-008,54.0,55.0,-65.06,94.42,54.5,54.5,5.18,0.0,2.25,17.28,13.41,13.36,1.6,47.81,3.79,73.35,8.8,10.97,7.46,0.17,7.52,None,Pyrophyllite
S00873,SYN-008,55.0,57.0,-66.35,94.67,56.0,56.0,2.89,0.0,0.0,1.62,6.79,10.9,4.22,27.5,3.56,59.53,24.41,14.42,9.25,1.63,33.9,Goethite,Pyrophyllite
S00874,SYN-008,57.0,59.0,-68.07,95.0,58.0,58.0,0.54,0.0,10.95,25.12,33.82,6.01,3.3,40.59,0.0,41.28,13.92,2.93,5.23,5.06,3.8,None,Pyrophyllite
S00875,SYN-008,59.0,60.5,-69.58,95.29,59.75,59.75,1.04,4.18,1.4,4.69,4.71,10.46,22.93,17.95,0.0,76.62,14.39,3.51,12.75,1.62,5.04,None,Pyrophyllite
S00876,SYN-008,60.5,62.0,-70.87,95.54,61.25,61.25,53.47,3.8,4.68,0.0,11.01,21.99,6.45,6.31,4.05,3.3,0.0,0.0,11.02,0.3,6.91,None,WhiteMica
S00877,SYN-008,62.0,63.0,-71.94,95.75,62.5,62.5,78.74,1.47,0.0,30.12,6.02,9.39,2.75,0.66,5.44,1.77,1.83,0.16,20.57,3.05,2.69,None,WhiteMica
S00878,SYN-008,63.0,65.0,-73.24,96.0,64.0,64.0,3.32,0.0,1.91,21.54,17.72,5.16,3.7,23.95,0.85,69.37,26.77,9.21,16.3,0.0,1.26,None,Pyrophyllite
S00879,SYN-008,65.0,66.5,-74.74,96.29,65.75,65.75,0.82,2.03,0.0,1.53,7.03,15.38,0.41,27.71,0.0,61.39,15.88,10.11,8.05,0.0,4.19,None,Pyrophyllite
S00880,SYN-008,66.5,67.5,-75.82,96.5,67.0,67.0,36.35,0.22,0.0,2.84,24.22,7.79,12.77,0.0,7.82,27.68,0.22,0.0,0.0,7.88,6.32,None,WhiteMica
S00881,SYN-008,67.5,69.0,-76.89,96.71,68.25,68.25,53.41,0.0,0.81,0.26,3.91,0.38,6.79,2.29,6.26,0.0,27.55,2.11,3.12,1.26,3.21,None,WhiteMica
S00882,SYN-008,69.0,71.0,-78.4,97.0,70.0,70.0,4.77,2.65,28.09,0.0,6.83,6.63,0.0,19.31,4.12,85.06,19.81,3.61,1.85,4.05,6.39,None,Pyrophyllite
S00883,SYN-008,71.0,72.5,-79.91,97.29,71.75,71.75,19.87,3.34,7.21,1.27,11.42,6.22,0.51,2.45,3.56,0.0,0.54,0.92,7.19,1.32,5.54,None,WhiteMica
S00884,SYN-008,72.5,74.5,-81.41,97.58,73.5,73.5,2.84,1.6,2.2,2.5,4.28,41.44,4.8,47.79,1.23,30.22,17.78,14.07,10.81,2.6,4.86,None,Alunite
S00885,SYN-008,74.5,76.5,-83.13,97.92,75.5,75.5,61.33,13.05,6.06,1.64,4.33,2.04,0.0,2.46,4.79,2.22,1.38,0.84,7.69,2.14,2.94,None,WhiteMica
S00886,SYN-008,76.5,77.5,-84.43,98.17,77.0,77.0,4.46,1.94,0.0,0.01,11.01,39.18,2.34,21.71,0.0,48.61,17.24,4.61,8.4,0.0,2.4,None,Pyrophyllite
S00887,SYN-008,77.5,79.5,-85.72,98.42,78.5,78.5,4.39,2.15,1.74,3.59,6.23,6.86,1.67,43.69,2.35,68.78,7.31,7.12,10.42,0.5,7.31,None,Pyrophyllite
S00888,SYN-008,79.5,81.0,-87.22,98.71,80.25,80.25,4.97,1.55,0.0,0.0,4.77,9.01,1.22,33.68,2.48,40.83,24.95,10.4,7.89,3.81,0.83,None,Pyrophyllite
S00889,SYN-008,81.0,82.5,-88.51,98.96,81.75,81.75,5.25,0.0,1.51,2.28,2.7,0.0,1.96,54.84,0.0,78.58,19.8,13.17,11.43,2.83,4.3,None,Pyrophyllite
S00890,SYN-008,82.5,83.5,-89.59,99.17,83.0,83.0,46.49,0.0,0.0,3.34,10.88,6.24,5.79,0.38,8.07,4.43,2.31,2.93,0.14,1.96,4.12,None,WhiteMica
S00891,SYN-008,83.5,85.5,-90.88,99.42,84.5,84.5,51.67,0.0,1.17,6.02,42.07,5.58,2.55,30.44,3.77,0.0,0.0,0.0,8.12,0.0,3.88,None,WhiteMica
S00892,SYN-008,85.5,87.0,-92.39,99.71,86.25,86.25,67.49,3.46,1.54,0.0,5.66,12.37,3.59,34.52,13.49,1.9,2.54,3.29,2.75,3.29,0.3,None,WhiteMica
S00893,SYN-008,87.0,88.0,-93.46,99.92,87.5,87.5,3.14,0.0,3.01,0.0,3.58,8.55,1.22,30.76,0.0,100.0,24.59,4.42,17.68,0.86,3.2,None,Pyrophyllite
S00894,SYN-008,88.0,89.5,-94.54,100.12,88.75,88.75,100.0,0.0,2.24,1.33,5.34,4.55,7.19,1.75,10.42,6.73,0.0,6.93,9.03,0.46,29.08,Goethite,WhiteMica
S00895,SYN-008,89.5,90.5,-95.62,100.33,90.0,90.0,4.46,0.94,13.99,2.74,2.64,12.67,0.48,62.77,0.0,85.38,18.93,10.67,9.52,0.0,5.34,None,Pyrophyllite
S00896,SYN-008,90.5,91.5,-96.48,100.5,91.0,91.0,13.62,0.72,2.56,1.28,54.6,3.03,11.75,0.0,1.48,0.91,3.7,0.62,0.0,2.21,3.64,None,Kaolinite
S00897,SYN-008,91.5,93.0,-97.55,100.71,92.25,92.25,35.85,0.0,4.39,0.0,6.31,8.83,6.56,3.58,6.48,3.57,5.04,1.92,36.62,1.73,6.72,None,Water_silica
S00898,SYN-008,93.0,94.5,-98.84,100.96,93.75,93.75,4.59,18.24,16.1,0.76,5.49,7.18,0.0,26.78,4.62,64.47,26.55,7.6,9.17,32.34,6.6,Hematite,Pyrophyllite
S00899,SYN-008,94.5,96.5,-100.35,101.25,95.5,95.5,49.22,36.36,5.8,4.9,4.44,8.72,1.93,3.56,7.55,1.21,3.8,0.09,5.32,5.38,2.02,None,WhiteMica
S00900,SYN-008,96.5,98.0,-101.86,101.54,97.25,97.25,10.74,0.39,35.8,3.56,73.14,24.18,10.0,1.57,0.0,4.08,0.0,0.79,0.0,2.09,6.6,None,Kaolinite
S00901,SYN-008,98.0,99.5,-103.15,101.79,98.75,98.75,38.03,3.21,1.29,1.31,8.83,5.47,6.3,2.01,39.73,0.96,0.0,0.0,2.89,0.0,20.99,Goethite,Gypsum
S00902,SYN-008,99.5,101.0,-104.44,102.04,100.25,100.25,27.24,0.0,0.3,0.0,44.29,8.12,7.13,1.4,0.0,0.0,1.19,1.07,0.39,0.41,6.35,None,Kaolinite
S00903,SYN-008,101.0,102.5,-105.73,102.29,101.75,101.75,36.33,0.0,4.0,0.45,22.21,6.32,15.05,3.7,7.51,0.03,4.27,0.0,7.75,35.35,0.07,Hematite,WhiteMica
S00904,SYN-008,102.5,104.0,-107.02,102.54,103.25,103.25,34.76,16.07,4.9,5.9,19.23,4.25,42.14,2.55,3.49,7.78,0.44,0.35,1.71,3.68,6.73,None,Montmor
S00905,SYN-008,104.0,105.5,-108.31,102.79,104.75,104.75,63.06,3.48,2.82,1.33,10.62,6.0,6.04,2.05,6.26,1.41,2.22,2.12,6.05,0.0,1.24,None,WhiteMica
S00906,SYN-008,105.5,107.5,-109.82,103.08,106.5,106.5,16.36,25.56,15.73,3.35,16.26,0.0,22.19,0.43,0.94,3.15,4.18,1.37,19.34,0.0,2.16,None,Chlorite
S00907,SYN-008,107.5,109.0,-111.32,103.38,108.25,108.25,0.0,2.27,3.18,2.2,3.61,12.52,1.39,28.82,0.98,49.83,19.23,2.72,9.47,3.22,2.58,None,Pyrophyllite
S00908,SYN-008,109.0,110.0,-112.4,103.58,109.5,109.5,22.9,43.21,6.52,10.11,9.71,0.0,4.4,8.12,0.0,0.0,1.15,22.3,2.59,2.19,1.52,None,Chlorite
S00909,SYN-008,110.0,111.5,-113.48,103.79,110.75,110.75,30.36,29.33,16.66,5.85,27.07,2.66,12.24,0.0,2.91,4.31,2.04,1.91,2.13,2.92,6.41,None,WhiteMica
S00910,SYN-008,111.5,113.5,-114.98,104.08,112.5,112.5,20.66,1.35,0.04,5.75,44.66,8.09,6.72,4.23,5.99,10.44,1.04,0.0,29.29,0.3,0.0,None,Kaolinite
S00911,SYN-008,113.5,114.5,-116.27,104.33,114.0,114.0,26.09,21.41,8.82,5.22,6.16,0.0,12.64,0.53,3.78,1.01,0.0,27.68,0.0,4.08,4.29,None,Zunyite
S00912,SYN-008,114.5,116.0,-117.35,104.54,115.25,115.25,52.87,6.34,1.15,1.46,5.0,3.99,4.95,4.04,13.43,0.19,2.53,0.92,3.07,3.93,4.51,None,WhiteMica
S00913,SYN-008,116.0,118.0,-118.86,104.83,117.0,117.0,10.93,13.75,10.46,7.5,5.88,0.0,11.38,3.74,0.0,5.01,0.63,0.25,0.0,3.57,15.14,Goethite,Chlorite
S00914,SYN-008,118.0,119.5,-120.36,105.13,118.75,118.75,22.54,2.51,1.19,0.0,31.06,3.36,7.42,3.29,2.26,0.0,0.0,0.0,2.73,0.85,1.88,None,Kaolinite
S00915,SYN-008,119.5,121.5,-121.87,105.42,120.5,120.5,34.62,1.37,4.56,0.0,56.07,12.73,21.88,0.0,3.65,0.0,1.03,0.0,0.0,0.8,0.51,None,Kaolinite
S00916,SYN-008,121.5,123.0,-123.37,105.71,122.25,122.25,35.19,5.62,2.37,29.54,78.12,10.18,8.99,0.78,6.74,22.25,0.15,3.52,0.13,1.54,2.2,None,Kaolinite
S00917,SYN-008,123.0,124.5,-124.67,105.96,123.75,123.75,1.47,27.12,11.14,12.89,0.42,0.09,5.22,0.0,1.31,16.12,0.0,14.97,26.67,0.0,5.27,None,Chlorite
S00918,SYN-008,124.5,126.0,-125.96,106.21,125.25,125.25,5.7,0.0,1.11,0.0,85.42,19.62,0.0,0.0,4.82,3.31,0.79,1.25,25.99,0.97,2.05,None,Kaolinite
S00919,SYN-008,126.0,128.0,-127.46,106.5,127.0,127.0,19.28,41.82,17.02,4.79,54.76,2.95,22.67,3.16,0.0,0.0,3.78,0.0,4.04,4.16,3.72,None,Kaolinite
S00920,SYN-008,128.0,129.5,-128.97,106.79,128.75,128.75,14.1,28.73,3.92,3.97,11.57,0.0,21.7,3.79,0.0,0.0,0.0,5.07,1.93,21.01,2.75,Hematite,Chlorite
S00921,SYN-008,129.5,131.0,-130.26,107.04,130.25,130.25,19.25,13.23,5.27,4.23,16.89,35.03,12.09,0.5,0.0,1.46,0.0,3.12,0.0,34.35,8.02,Hematite,Dickite
S00922,SYN-008,131.0,132.5,-131.55,107.29,131.75,131.75,14.31,22.03,8.53,29.39,16.59,1.31,7.59,0.0,4.69,4.87,0.1,1.93,4.89,0.0,3.33,None,Epidote
S00923,SYN-008,132.5,134.0,-132.84,107.54,133.25,133.25,10.32,36.23,42.5,2.96,12.77,10.5,22.02,20.17,0.0,0.0,0.35,1.02,1.31,0.0,0.86,None,Carbonate
S00924,SYN-008,134.0,135.5,-134.13,107.79,134.75,134.75,14.04,23.49,21.89,2.65,6.97,0.13,18.88,2.49,2.14,2.65,0.67,0.0,0.0,0.21,3.6,None,Chlorite
S00925,SYN-008,135.5,137.0,-135.43,108.04,136.25,136.25,27.1,34.59,6.0,8.62,14.8,0.0,13.89,1.76,2.0,0.0,0.74,1.08,3.85,3.37,4.75,None,Chlorite
S00926,SYN-008,137.0,139.0,-136.93,108.33,138.0,138.0,19.36,43.56,4.13,7.81,6.15,15.52,18.13,3.21,0.0,3.56,1.37,0.0,3.2,1.06,1.65,None,Chlorite
S00927,SYN-008,139.0,140.5,-138.44,108.63,139.75,139.75,28.41,0.0,3.33,0.72,84.81,12.57,6.06,4.85,1.03,4.44,27.81,3.75,3.69,0.0,6.23,None,Kaolinite
S00928,SYN-008,140.5,142.0,-139.73,108.88,141.25,141.25,6.72,69.73,5.79,3.78,15.25,5.23,18.08,0.0,0.0,0.29,0.31,4.63,2.67,3.26,0.0,None,Chlorite
S00929,SYN-008,142.0,143.5,-141.02,109.13,142.75,142.75,23.89,26.96,11.04,8.4,6.4,2.77,8.49,0.06,4.45,1.87,4.74,0.0,1.82,2.58,1.93,None,Chlorite
S00930,SYN-008,143.5,145.0,-142.31,109.38,144.25,144.25,6.2,19.68,14.41,9.8,3.11,2.12,19.55,0.27,0.0,2.14,0.41,0.29,1.15,0.01,3.05,None,Chlorite
S00931,SYN-008,145.0,146.5,-143.6,109.63,145.75,145.75,73.29,4.57,0.0,0.0,11.02,3.76,1.24,2.82,4.06,0.56,0.75,1.07,6.31,6.25,5.45,None,WhiteMica
S00932,SYN-008,146.5,147.5,-144.68,109.83,147.0,147.0,96.68,4.18,3.75,4.17,29.55,4.89,3.22,28.43,4.96,0.94,0.34,0.93,2.18,3.76,6.53,None,WhiteMica
S00933,SYN-008,147.5,148.5,-145.54,110.0,148.0,148.0,30.42,1.99,2.71,2.81,11.02,15.74,0.0,0.0,6.2,0.0,0.52,0.0,5.67,3.36,6.47,None,WhiteMica
S00934,SYN-008,148.5,150.0,-146.62,110.21,149.25,149.25,91.78,26.61,2.17,3.16,2.65,4.65,18.36,0.0,7.74,31.15,0.0,1.06,5.72,0.44,3.4,None,WhiteMica
S00935,SYN-008,150.0,151.5,-147.91,110.46,150.75,150.75,9.58,34.63,12.21,6.84,9.64,0.26,10.26,0.0,3.33,0.37,3.4,0.0,22.62,0.0,5.83,None,Chlorite
S00936,SYN-008,151.5,153.0,-149.2,110.71,152.25,152.25,24.23,1.53,1.27,0.62,27.35,16.12,8.25,0.0,8.06,3.61,0.0,0.8,1.08,34.89,4.66,Hematite,Kaolinite
S00937,SYN-008,153.0,154.0,-150.27,110.92,153.5,153.5,21.35,19.36,6.82,5.13,9.64,2.38,14.04,1.62,6.57,0.0,1.04,8.64,0.0,0.0,3.33,None,WhiteMica
S00938,SYN-008,154.0,155.5,-151.35,111.13,154.75,154.75,82.65,1.06,0.0,0.0,13.64,5.47,5.99,1.97,11.43,8.03,0.0,0.0,40.77,3.25,1.75,None,WhiteMica
S00939,SYN-008,155.5,156.5,-152.43,111.33,156.0,156.0,19.98,29.17,10.09,2.69,19.55,2.77,1.82,0.0,0.0,28.17,3.61,0.84,0.2,4.26,3.59,None,Chlorite
S00940,SYN-008,156.5,158.5,-153.72,111.58,157.5,157.5,17.43,1.81,2.2,1.52,47.56,18.47,17.01,22.25,3.27,0.0,0.0,1.14,0.0,0.0,6.17,None,Kaolinite
S00941,SYN-008,158.5,160.5,-155.44,111.92,159.5,159.5,25.24,0.0,1.58,0.0,41.22,0.0,8.02,0.0,3.84,0.0,0.0,0.51,1.94,26.11,29.76,Goethite,Kaolinite
S00942,SYN-008,160.5,161.5,-156.73,112.17,161.0,161.0,34.48,2.3,6.1,0.0,33.92,6.44,3.24,25.39,6.0,20.1,0.0,1.45,8.03,0.0,2.05,None,WhiteMica
S00943,SYN-008,161.5,163.0,-157.81,112.38,162.25,162.25,7.04,14.83,19.9,11.15,0.0,1.8,28.02,3.39,0.0,1.31,2.74,0.0,0.19,2.87,5.89,None,Montmor
S00944,SYN-008,163.0,164.0,-158.88,112.58,163.5,163.5,3.39,26.22,14.06,5.67,3.54,1.52,26.42,5.96,0.83,2.18,0.59,3.49,0.9,0.0,1.9,None,Montmor
S00945,SYN-008,164.0,165.5,-159.96,112.79,164.75,164.75,89.95,0.0,1.58,0.92,10.16,7.2,4.71,1.17,7.56,5.14,0.0,1.59,3.76,0.0,4.4,None,WhiteMica
S00946,SYN-008,165.5,166.5,-161.03,113.0,166.0,166.0,4.91,2.71,2.67,1.62,60.79,8.05,8.15,0.0,2.22,0.0,2.72,0.27,0.0,0.0,3.98,None,Kaolinite
S00947,SYN-008,166.5,168.0,-162.11,113.21,167.25,167.25,20.44,17.81,18.75,6.92,0.0,0.0,11.84,2.88,2.31,0.0,0.0,0.0,0.0,1.76,5.26,None,WhiteMica
S00948,SYN-008,168.0,169.5,-163.4,113.46,168.75,168.75,66.53,0.0,0.0,3.2,10.44,5.47,2.56,2.38,7.04,3.94,12.22,4.69,30.01,0.0,5.02,None,WhiteMica
S00949,SYN-008,169.5,171.5,-164.91,113.75,170.5,170.5,79.26,0.0,0.0,2.45,3.43,3.92,8.14,1.37,5.78,33.57,2.66,0.0,5.07,5.66,29.41,Goethite,WhiteMica
S00950,SYN-008,171.5,172.5,-166.2,114.0,172.0,172.0,36.48,1.82,0.09,0.0,46.21,37.96,5.0,0.0,1.21,5.12,0.0,1.78,0.0,1.41,22.35,Goethite,Kaolinite
S00951,SYN-008,172.5,174.0,-167.27,114.21,173.25,173.25,6.4,47.0,34.79,8.98,1.91,3.1,9.49,4.82,3.05,5.76,0.0,0.0,2.16,3.98,1.71,None,Chlorite
S00952,SYN-008,174.0,175.5,-168.56,114.46,174.75,174.75,9.97,36.64,17.79,4.21,0.0,0.93,43.14,1.51,2.69,0.67,0.51,0.12,3.99,1.73,3.81,None,Montmor
S00953,SYN-008,175.5,177.5,-170.07,114.75,176.5,176.5,11.29,30.29,7.06,7.98,0.4,4.68,8.91,2.4,0.0,1.26,0.0,3.33,0.0,2.7,3.6,None,Chlorite
S00954,SYN-008,177.5,179.0,-171.58,115.04,178.25,178.25,67.35,1.79,2.89,0.0,35.89,27.66,1.79,0.91,9.35,0.01,1.81,3.03,7.04,0.0,9.19,None,WhiteMica
S00955,SYN-008,179.0,180.5,-172.87,115.29,179.75,179.75,27.1,0.0,0.0,3.03,43.13,8.48,14.19,0.58,4.58,3.3,1.47,0.43,37.97,3.26,3.9,None,Kaolinite
S00956,SYN-008,180.5,182.0,-174.16,115.54,181.25,181.25,36.24,48.02,9.96,6.75,2.44,0.47,19.27,2.03,2.35,0.0,3.03,3.25,15.04,11.07,3.24,None,Chlorite
S00957,SYN-008,182.0,183.5,-175.45,115.79,182.75,182.75,5.53,45.59,9.23,16.44,1.3,2.94,40.19,0.0,0.79,0.72,26.26,0.0,0.0,5.32,1.6,None,Chlorite
S00958,SYN-008,183.5,185.5,-176.96,116.09,184.5,184.5,7.99,32.21,10.06,9.98,2.15,3.03,10.95,0.0,0.0,0.0,1.4,3.62,0.23,0.62,0.46,None,Chlorite
S00959,SYN-008,185.5,187.0,-178.46,116.38,186.25,186.25,9.65,62.98,19.87,0.25,19.82,0.0,20.9,30.44,3.6,0.0,2.85,4.8,0.0,3.63,0.0,None,Chlorite
S00960,SYN-008,187.0,188.5,-179.75,116.63,187.75,187.75,13.43,0.91,3.47,26.39,79.42,19.5,5.07,2.62,0.4,2.2,1.7,3.59,0.12,0.0,0.33,None,Kaolinite
S00961,SYN-008,188.5,189.5,-180.83,116.84,189.0,189.0,16.2,0.0,4.96,1.19,50.12,8.07,15.32,2.53,3.79,0.0,30.44,4.66,2.43,3.77,2.29,None,Kaolinite
S00962,SYN-008,189.5,191.0,-181.91,117.04,190.25,190.25,57.33,1.41,2.97,2.87,6.02,8.14,4.22,8.51,7.16,3.66,0.0,26.0,4.48,0.0,5.43,None,WhiteMica
S00963,SYN-008,191.0,193.0,-183.41,117.34,192.0,192.0,72.23,0.0,0.04,0.0,6.9,4.69,1.75,1.0,8.67,5.96,0.42,0.57,0.98,0.0,4.06,None,WhiteMica
S00964,SYN-008,193.0,194.5,-184.92,117.63,193.75,193.75,0.58,24.88,8.03,7.99,2.59,22.49,12.12,0.92,1.59,0.0,0.0,3.01,0.42,4.5,0.56,None,Chlorite
S00965,SYN-008,194.5,196.0,-186.21,117.88,195.25,195.25,10.0,41.84,37.38,9.33,0.2,0.0,11.56,3.3,2.48,0.0,1.74,0.76,0.0,4.25,1.49,None,Chlorite
S00966,SYN-008,196.0,198.0,-187.72,118.17,197.0,197.0,4.53,23.05,24.23,6.29,7.57,0.0,20.85,0.0,0.0,0.0,1.01,2.54,0.0,0.77,2.73,None,Carbonate
S00967,SYN-008,198.0,200.0,-189.44,118.5,199.0,199.0,4.56,39.38,12.26,4.03,0.0,0.14,6.0,0.77,0.0,1.05,3.58,0.0,0.0,0.98,2.15,None,Chlorite
S00968,SYN-008,200.0,201.5,-190.94,118.79,200.75,200.75,5.04,24.87,20.83,10.38,7.94,1.6,15.39,4.22,3.25,0.0,0.0,4.06,0.0,1.56,0.87,None,Chlorite
S00969,SYN-008,201.5,203.0,-192.24,119.04,202.25,202.25,6.86,33.81,3.88,4.54,0.0,0.0,5.55,2.64,11.86,3.78,0.87,5.17,0.0,2.61,0.0,None,Chlorite
S00970,SYN-008,203.0,204.5,-193.53,119.29,203.75,203.75,62.89,3.25,2.36,0.0,5.59,3.35,5.59,0.0,5.21,4.1,13.61,0.0,4.34,4.38,0.35,None,WhiteMica
S00971,SYN-008,204.5,206.0,-194.82,119.54,205.25,205.25,3.0,58.12,33.46,10.07,4.38,1.27,7.02,0.0,0.64,1.77,0.0,0.3,14.45,1.06,18.45,Goethite,Chlorite
S00972,SYN-008,206.0,207.5,-196.11,119.79,206.75,206.75,5.23,39.99,9.62,4.23,22.8,0.66,27.48,9.01,0.0,3.06,2.67,3.32,2.04,0.0,5.86,None,Chlorite
S00973,SYN-008,207.5,208.5,-197.18,120.0,208.0,208.0,7.42,34.01,18.16,6.08,0.0,3.8,14.63,1.08,1.69,3.66,0.0,3.91,0.0,12.56,6.5,None,Chlorite
S00974,SYN-008,208.5,210.5,-198.48,120.25,209.5,209.5,6.59,18.24,8.55,11.44,2.7,0.0,22.21,3.16,0.0,4.67,19.76,0.79,1.04,0.06,24.28,Goethite,Montmor
S00975,SYN-008,210.5,212.5,-200.2,120.59,211.5,211.5,7.03,53.58,30.9,9.76,0.0,4.17,24.89,2.49,2.11,3.63,0.0,0.0,2.07,5.16,4.89,None,Chlorite
S00976,SYN-008,212.5,214.5,-201.92,120.92,213.5,213.5,5.13,15.3,4.2,8.11,1.89,2.17,31.09,30.4,0.0,0.0,0.57,1.74,0.45,0.96,18.78,Goethite,Montmor
S00977,SYN-008,214.5,216.5,-203.64,121.25,215.5,215.5,25.73,39.18,24.18,7.89,1.57,1.12,20.04,2.81,0.68,23.96,2.83,0.0,1.59,4.89,1.08,None,Chlorite
S00978,SYN-008,216.5,218.0,-205.15,121.54,217.25,217.25,8.85,38.86,22.32,8.33,0.33,30.08,26.27,1.84,5.14,2.0,1.94,5.4,1.65,1.81,21.76,Goethite,Chlorite
S00979,SYN-008,218.0,220.0,-206.65,121.84,219.0,219.0,49.19,0.0,2.87,1.59,13.81,4.8,7.6,0.76,38.54,2.04,0.0,4.54,28.75,0.28,7.11,None,WhiteMica
S00980,SYN-008,220.0,222.0,-208.37,122.17,221.0,221.0,8.69,25.74,18.23,5.15,0.12,6.01,13.53,2.7,2.11,35.76,4.24,2.87,0.2,20.07,2.53,Hematite,Pyrophyllite
S00981,SYN-008,222.0,223.5,-209.88,122.46,222.75,222.75,7.15,48.96,16.39,2.54,2.05,0.67,18.44,3.54,0.33,1.26,0.0,0.72,23.65,0.0,6.19,None,Chlorite
S00982,SYN-008,223.5,225.0,-211.17,122.71,224.25,224.25,5.13,0.0,1.55,0.0,3.79,5.51,0.0,3.19,5.07,1.47,0.0,0.0,3.06,1.9,3.21,None,Dickite
S00983,SYN-008,225.0,226.0,-212.25,122.92,225.5,225.5,8.54,47.19,29.36,10.05,13.45,0.0,18.06,0.09,3.34,4.06,1.06,3.74,1.52,1.03,6.69,None,Chlorite
S00984,SYN-008,226.0,227.5,-213.32,123.13,226.75,226.75,39.32,29.89,33.79,13.51,0.0,2.27,20.62,0.0,0.0,1.45,3.92,0.0,0.0,0.0,4.16,None,WhiteMica
S00985,SYN-008,227.5,229.0,-214.62,123.38,228.25,228.25,25.12,52.09,40.34,10.18,3.59,0.0,25.81,3.02,0.0,1.55,0.0,4.21,0.0,2.68,2.1,None,Chlorite
